.   flu: (1.00 0.00 0.00 )   ( 1000.0     0.0     0.0 )   [1000.0]
 0  flu: (0.95 0.05 0.00 )   (  950.0    50.0     0.0 )   [1000.0]
 1  flu: (0.90 0.07 0.03 )   (  902.0    73.0    25.0 )   [1000.0]
 2  flu: (0.86 0.08 0.06 )   (  860.0    82.0    58.0 )   [1000.0]
 3  flu: (0.82 0.08 0.09 )   (  823.0    84.0    93.0 )   [1000.0]
 4  flu: (0.79 0.08 0.13 )   (  791.0    83.0   126.0 )   [1000.0]
 5  flu: (0.76 0.08 0.15 )   (  764.0    81.0   155.0 )   [1000.0]
 6  flu: (0.74 0.08 0.18 )   (  741.0    79.0   180.0 )   [1000.0]
 7  flu: (0.72 0.08 0.20 )   (  722.0    76.0   202.0 )   [1000.0]
 8  flu: (0.71 0.07 0.22 )   (  706.0    74.0   220.0 )   [1000.0]
 9  flu: (0.69 0.07 0.23 )   (  693.0    72.0   235.0 )   [1000.0]
10  flu: (0.68 0.07 0.25 )   (  681.0    71.0   248.0 )   [1000.0]
11  flu: (0.67 0.07 0.26 )   (  672.0    69.0   259.0 )   [1000.0]
12  flu: (0.66 0.07 0.27 )   (  664.0    69.0   267.0 )   [1000.0]
13  flu: (0.66 0.07 0.27 )   (  658.0    68.0   274.0 )   [1000.0]
14  flu: (0.65 0.07 0.28 )   (  652.0    67.0   281.0 )   [1000.0]
15  flu: (0.65 0.07 0.29 )   (  647.0    66.0   287.0 )   [1000.0]
16  flu: (0.64 0.07 0.29 )   (  644.0    65.0   291.0 )   [1000.0]
17  flu: (0.64 0.07 0.29 )   (  641.0    65.0   294.0 )   [1000.0]
18  flu: (0.64 0.07 0.30 )   (  638.0    65.0   297.0 )   [1000.0]
19  flu: (0.64 0.07 0.30 )   (  636.0    65.0   299.0 )   [1000.0]
20  flu: (0.63 0.07 0.30 )   (  634.0    65.0   301.0 )   [1000.0]
21  flu: (0.63 0.07 0.30 )   (  632.0    65.0   303.0 )   [1000.0]
22  flu: (0.63 0.07 0.30 )   (  630.0    65.0   305.0 )   [1000.0]
23  flu: (0.63 0.07 0.31 )   (  629.0    65.0   306.0 )   [1000.0]
